Date,Source,Production,Start_Hour,End_Hour,Day_of_Year
1/8/2021,Wind,1043,7,8,8
3/27/2020,Solar,5875,12,13,87
9/14/2022,Solar,6213,13,14,257
2/9/2021,Wind,5404,17,18,40
4/25/2021,Wind,8275,5,6,115
12/20/2022,Wind,13886,1,2,354
3/15/2023,Wind,3420,8,9,74
1/9/2024,Wind,3646,18,19,9
6/5/2021,Solar,5731,15,16,156
11/28/2024,Wind,4321,22,23,333
4/28/2020,Wind,3006,3,4,119
10/8/2025,Wind,730,2,3,281
7/24/2025,Solar,8701,12,13,205
5/18/2021,Wind,3351,20,21,138
4/7/2023,Wind,1998,6,7,97
2/28/2022,Wind,2179,18,19,59
11/3/2023,Wind,10599,23,0,307
4/28/2021,Wind,2245,23,0,118
10/22/2023,Wind,1963,19,20,295
12/4/2023,Wind,14332,16,17,338
3/12/2023,Wind,11363,10,11,71
6/10/2024,Wind,9028,16,17,162
12/7/2023,Wind,7243,7,8,341
1/11/2020,Wind,6243,13,14,11
6/20/2022,Wind,6057,18,19,171
12/9/2021,Wind,6822,12,13,343
10/22/2021,Wind,2148,4,5,295
8/18/2023,Solar,7556,12,13,230
8/26/2020,Wind,10494,15,16,239
5/17/2023,Wind,7393,1,2,137
12/10/2024,Wind,9436,14,15,345
9/4/2023,Wind,10840,16,17,247
6/15/2023,Wind,2306,21,22,166
1/12/2021,Wind,12614,6,7,12
4/23/2021,Wind,5325,7,8,113
5/28/2020,Wind,4838,21,22,149
4/17/2023,Wind,3728,0,1,107
1/12/2020,Wind,7023,6,7,12
11/29/2024,Wind,7114,4,5,334
4/28/2025,Wind,4319,20,21,118
6/10/2020,Solar,3435,10,11,162
2/15/2025,Wind,3299,17,18,46
3/25/2023,Wind,9938,18,19,84
10/4/2021,Wind,4512,19,20,277
8/3/2023,Wind,11952,6,7,215
8/27/2022,Wind,2886,1,2,239
2/8/2021,Wind,1809,17,18,39
2/5/2023,Wind,10704,16,17,36
4/27/2021,Wind,1594,21,22,117
12/8/2021,Wind,10646,1,2,342
9/29/2022,Wind,1181,21,22,272
8/14/2025,Wind,3432,0,1,226
8/12/2023,Wind,2514,8,9,224
4/25/2022,Wind,3834,0,1,115
3/12/2025,Wind,2812,6,7,71
1/2/2023,Wind,4165,23,0,2
6/23/2021,Wind,2524,23,0,174
1/27/2024,Solar,5047,14,15,27
4/19/2022,Solar,5004,12,13,109
11/2/2020,Wind,11975,6,7,307
2/25/2025,Wind,11904,22,23,56
9/30/2025,Wind,1402,4,5,273
3/18/2023,Wind,3908,22,23,77
11/25/2020,Wind,6287,7,8,330
11/11/2020,Wind,3805,15,16,316
5/26/2022,Wind,3427,5,6,146
4/27/2020,Wind,2041,20,21,118
7/26/2021,Wind,1744,6,7,207
7/1/2024,Wind,2190,7,8,183
10/13/2022,Wind,6261,12,13,286
4/9/2021,Wind,5113,18,19,99
10/10/2021,Wind,2713,0,1,283
4/22/2023,Wind,8274,11,12,112
1/22/2022,Wind,1705,23,0,22
10/6/2024,Wind,8155,21,22,280
5/4/2020,Wind,772,4,5,125
11/6/2022,Wind,7347,5,6,310
8/16/2024,Solar,8933,12,13,229
12/15/2020,Wind,2633,16,17,350
1/4/2021,Wind,3018,19,20,4
2/17/2022,Wind,14562,15,16,48
2/22/2020,Wind,8585,7,8,53
2/3/2025,Solar,6618,12,13,34
5/16/2022,Solar,7824,12,13,136
3/20/2025,Wind,8861,15,16,79
10/8/2021,Wind,6180,17,18,281
1/11/2025,Wind,2047,4,5,11
10/29/2024,Wind,1443,3,4,303
5/25/2021,Wind,9963,8,9,145
4/20/2022,Wind,4079,18,19,110
7/28/2023,Wind,4401,20,21,209
1/25/2022,Wind,376,8,9,25
11/12/2024,Wind,8295,0,1,317
7/2/2021,Wind,524,4,5,183
4/30/2022,Wind,4244,22,23,120
3/18/2024,Wind,2178,6,7,78
12/28/2023,Wind,13532,23,0,362
4/4/2023,Wind,4225,22,23,94
6/19/2022,Wind,7351,19,20,170
10/27/2021,Solar,5370,12,13,300
1/24/2025,Wind,14158,16,17,24
6/22/2021,Wind,3591,21,22,173
7/25/2021,Wind,5105,18,19,206
12/1/2021,Wind,13835,7,8,335
3/1/2020,Wind,8419,20,21,61
3/28/2024,Wind,14967,4,5,88
1/3/2020,Wind,4207,22,23,3
11/25/2024,Wind,6573,23,0,330
5/5/2023,Solar,8449,15,16,125
4/27/2025,Wind,4156,5,6,117
5/21/2024,Solar,6724,17,18,142
10/17/2023,Wind,7943,18,19,290
5/15/2023,Wind,12236,15,16,135
4/20/2024,Wind,6623,7,8,111
4/28/2024,Wind,3181,21,22,119
6/17/2022,Wind,3818,8,9,168
3/26/2021,Wind,10584,16,17,85
10/7/2023,Wind,2231,7,8,280
2/2/2025,Solar,5898,13,14,33
7/28/2025,Wind,3946,6,7,209
10/25/2025,Wind,12427,8,9,298
12/2/2020,Wind,4378,3,4,337
